Occurred On (NT),Cleared On (NT),MO Name,Name
04/01/2025 09:14,04/01/2025 09:20,"NodeB Name=DIFCHT1811, LogicRNCID=32",NodeB Unavailable
03/01/2025 22:52,04/01/2025 10:24,"NodeB Name=MCR93-0007A_0220_Parque_Alameda, LogicRNCID=32",NodeB Unavailable
04/01/2025 19:15,04/01/2025 19:20,"NodeB Name=DIFBEJ0178, LogicRNCID=191",NodeB Unavailable
04/01/2025 22:48,05/01/2025 10:13,"NodeB Name=MCR93-0007A_0220_Parque_Alameda, LogicRNCID=32",NodeB Unavailable
03/01/2025 21:43,06/01/2025 15:10,"NodeB Name=DIFIZT0615, LogicRNCID=194",NodeB Unavailable
01/01/2025 15:51,14/01/2025 17:17,"NodeB Name=iMEX0015, LogicRNCID=194",NodeB Unavailable
01/01/2025 15:51,14/01/2025 17:18,"NodeB Name=iMEX0015B, LogicRNCID=194",NodeB Unavailable
01/01/2025 00:17,01/01/2025 00:23,"NodeB Name=NLEANH0505, LogicRNCID=141",NodeB Unavailable
01/01/2025 00:17,01/01/2025 00:23,"NodeB Name=NLEVCI1001, LogicRNCID=140",NodeB Unavailable
01/01/2025 00:20,01/01/2025 00:23,"NodeB Name=QTOQTO1405, LogicRNCID=162",NodeB Unavailable
01/01/2025 00:28,01/01/2025 00:34,"NodeB Name=NLEANH0505, LogicRNCID=141",NodeB Unavailable
01/01/2025 00:28,01/01/2025 00:34,"NodeB Name=NLEVCI1001, LogicRNCID=140",NodeB Unavailable
01/01/2025 01:41,01/01/2025 01:46,"NodeB Name=NLEPES1847, LogicRNCID=140",NodeB Unavailable
01/01/2025 01:46,01/01/2025 01:47,"NodeB Name=NLEPES1847, LogicRNCID=140",NodeB Unavailable
01/01/2025 01:47,01/01/2025 01:51,"NodeB Name=NLEPES1847, LogicRNCID=140",NodeB Unavailable
01/01/2025 02:06,01/01/2025 02:09,"NodeB Name=NLEAPO0510, LogicRNCID=140",NodeB Unavailable
01/01/2025 02:11,01/01/2025 02:15,"NodeB Name=NLEMTY0729, LogicRNCID=140",NodeB Unavailable
01/01/2025 02:13,01/01/2025 02:15,"NodeB Name=NLEAPO0510, LogicRNCID=140",NodeB Unavailable
01/01/2025 02:18,01/01/2025 02:22,"NodeB Name=NLEMTY0729, LogicRNCID=140",NodeB Unavailable
01/01/2025 02:42,01/01/2025 02:47,"NodeB Name=NLEMTY0733, LogicRNCID=140",NodeB Unavailable
01/01/2025 02:47,01/01/2025 02:49,"NodeB Name=NLEMTY0733, LogicRNCID=140",NodeB Unavailable
01/01/2025 02:49,01/01/2025 02:54,"NodeB Name=NLEMTY0733, LogicRNCID=140",NodeB Unavailable
01/01/2025 02:49,01/01/2025 02:55,"NodeB Name=GUASAL0479, LogicRNCID=160",NodeB Unavailable
01/01/2025 02:54,01/01/2025 02:56,"NodeB Name=NLEMTY0733, LogicRNCID=140",NodeB Unavailable
01/01/2025 03:07,01/01/2025 03:08,"NodeB Name=DURSCL0499, LogicRNCID=140",NodeB Unavailable
01/01/2025 03:07,01/01/2025 03:08,"NodeB Name=DURGDV0471, LogicRNCID=140",NodeB Unavailable
01/01/2025 05:44,01/01/2025 05:48,"NodeB Name=DURLRD0488, LogicRNCID=140",NodeB Unavailable
01/01/2025 05:48,01/01/2025 05:51,"NodeB Name=DURLRD0488, LogicRNCID=140",NodeB Unavailable
01/01/2025 07:21,01/01/2025 07:25,"NodeB Name=NLEAPO1383, LogicRNCID=140",NodeB Unavailable
01/01/2025 07:21,01/01/2025 07:38,"NodeB Name=NLEAPO0523, LogicRNCID=140",NodeB Unavailable
01/01/2025 07:21,01/01/2025 07:28,"NodeB Name=NLEAPO0510, LogicRNCID=140",NodeB Unavailable
01/01/2025 07:21,01/01/2025 07:23,"NodeB Name=NLEAPO6020, LogicRNCID=140",NodeB Unavailable
01/01/2025 07:28,01/01/2025 07:34,"NodeB Name=NLEANH0505, LogicRNCID=141",NodeB Unavailable
01/01/2025 07:28,01/01/2025 07:34,"NodeB Name=NLEVCI1001, LogicRNCID=140",NodeB Unavailable
01/01/2025 07:29,01/01/2025 12:41,"NodeB Name=TAMNLD1147, LogicRNCID=141",NodeB Unavailable
01/01/2025 08:03,01/01/2025 09:08,"NodeB Name=NLEGRS2178, LogicRNCID=140",NodeB Unavailable
01/01/2025 08:28,01/01/2025 08:33,"NodeB Name=SLPSLP3583, LogicRNCID=162",NodeB Unavailable
01/01/2025 08:44,01/01/2025 11:34,"NodeB Name=QTOSJR1436, LogicRNCID=162",NodeB Unavailable
01/01/2025 09:08,01/01/2025 09:12,"NodeB Name=COATOR1929, LogicRNCID=140",NodeB Unavailable
01/01/2025 09:12,01/01/2025 09:14,"NodeB Name=COATOR1929, LogicRNCID=140",NodeB Unavailable
01/01/2025 09:16,01/01/2025 09:17,"NodeB Name=GUALEO0431, LogicRNCID=160",NodeB Unavailable
01/01/2025 09:22,01/01/2025 11:29,"NodeB Name=COAMCV1913, LogicRNCID=140",NodeB Unavailable
01/01/2025 10:20,01/01/2025 10:35,NodeB Name=CHHCHH1668,NodeB Unavailable
01/01/2025 10:40,01/01/2025 10:44,"NodeB Name=COAMCV1908, LogicRNCID=140",NodeB Unavailable
01/01/2025 10:43,01/01/2025 10:49,"NodeB Name=NLEANH0505, LogicRNCID=141",NodeB Unavailable
01/01/2025 10:43,01/01/2025 10:49,"NodeB Name=NLEVCI1001, LogicRNCID=140",NodeB Unavailable
01/01/2025 10:49,01/01/2025 10:52,"NodeB Name=SUZACGDP7121Z, LogicRNCID=160",NodeB Unavailable
01/01/2025 11:46,01/01/2025 11:47,"NodeB Name=GUALEO2709, LogicRNCID=160",NodeB Unavailable
01/01/2025 11:48,01/01/2025 11:49,"NodeB Name=GUALEO2709, LogicRNCID=160",NodeB Unavailable
01/01/2025 11:50,01/01/2025 11:56,"NodeB Name=GUALEO2709, LogicRNCID=160",NodeB Unavailable
